0,007137	0,002861	2,858613	0,497568	5,006189	5,000597	1,850119
0,008124	0,002532	2,859271	0,503818	5,005203	5,003229	1,818871
0,150221	0,024242	2,860257	0,502173	5,005203	5,02461	1,79157
0,178509	0,02786	2,859928	0,50316	5,010137	5,229862	1,767229
0,208112	0,032465	2,860257	0,499871	5,011124	5,09204	1,745191
0,225874	0,035425	2,858284	0,5002	5,009479	5,037109	1,725127
0,244294	0,038715	2,859928	0,501844	5,010795	5,016057	1,706707
0,272253	0,042662	2,859271	0,500858	5,009479	5,008492	1,688944
0,292647	0,047596	2,859599	0,501844	5,011124	5,004545	1,674143
0,321263	0,052201	2,859271	0,497897	5,010795	5,003558	1,65967
0,342315	0,05549	2,859599	0,498226	5,011452	5,0029	1,647171
0,373563	0,060424	2,859928	0,499542	5,00915	4,998953	1,599805
0,399548	0,065687	2,861573	0,503818	5,010795	5,004874	1,624146
0,427507	0,070292	2,860586	0,507765	5,011124	5,003229	1,61362
0,464676	0,07687	2,859928	0,508423	5,014413	5,336435	1,605397
0,498884	0,083449	2,861244	0,510397	5,016387	5,13217	1,596187
0,530132	0,090027	2,860586	0,512699	5,019676	5,369657	1,588293
0,567301	0,097264	2,860257	0,514015	5,020662	5,142037	1,580398
0,596576	0,103184	2,861244	0,519607	5,026583	5,350908	1,572504
0,633416	0,11075	2,860257	0,522238	5,02461	5,133814	1,565268
0,675518	0,117657	2,860915	0,523883	5,031188	5,394985	1,560005
0,719923	0,126867	2,861573	0,52454	5,031188	5,155852	1,554413
0,756105	0,137393	2,861244	0,52783	5,036451	5,360118	1,550137
0,807089	0,145945	2,860586	0,530132	5,035464	5,140722	1,54619
0,856757	0,156142	2,861244	0,535395	5,03974	5,403866	1,542572
0,904123	0,166996	2,860915	0,534737	5,040069	5,159142	1,538953
0,953791	0,178838	2,859928	0,538027	5,041714	5,063752	1,536651
1,008393	0,189692	2,859271	0,539671	5,044674	5,372946	1,533691
1,045233	0,202191	2,859928	0,540658	5,044345	5,143353	1,531717
1,112334	0,216335	2,858284	0,541645	5,04599	5,057503	1,529086
1,163647	0,230479	2,861244	0,543947	5,045332	5,022965	1,52777
1,204105	0,243636	2,860915	0,54625	5,046648	5,010795	1,527441
1,24851	0,257451	2,859928	0,54625	5,045003	5,006189	1,527441
1,298836	0,271595	2,859599	0,545592	5,04599	5,004216	1,52777
1,348175	0,28837	2,861902	0,549868	5,045661	5,003229	1,528428
1,404751	0,304488	2,860915	0,548552	5,045332	5,003887	1,529415
1,430078	0,313698	2,86256	0,550526	5,046648	5,003887	1,53073
1,465931	0,326197	2,860586	0,552828	5,046319	5,003887	1,531059
